utc_time,x_km_EME2000,y_km_EME2000,z_km_EME2000,vx_kms,vy_kms,vz_kms,distance_from_earth_km,speed_kms
2026-04-02T01:57:37.084,-24468.231698271986,-12677.926410379976,-6901.348388602915,-1.83796863689585,-3.41722647280823,-1.84782351579474,28408.674557046903,4.29767579305352
2026-04-02T01:58:42.787,-24588.078986612403,-12901.97275469018,-7022.496964210427,-1.81029126296756,-3.40279453591778,-1.83996653511421,28641.752614443878,4.2710235261338445
2026-04-02T02:03:39.337,-25107.400003889667,-13901.530356086909,-7563.003976432445,-1.69292924541603,-3.33884282865911,-1.80538036530162,29678.83269847481,4.156113464270419
2026-04-02T02:07:39.337,-25502.919460761637,-14696.80088496664,-7993.002753099913,-1.60404842317362,-3.28863172598082,-1.77806409241313,30500.540163831745,4.068117733023749
2026-04-02T02:11:39.337,-25877.7905586998,-15480.17808009252,-8416.53227689087,-1.5207617860023,-3.23972655085335,-1.75146688419332,31307.091419664896,3.9844925373872777
2026-04-02T02:15:39.337,-26233.288662562507,-16251.971364545645,-8833.762790310579,-1.4425217946379,-3.19209289695149,-1.72556875119944,32099.024476186467,3.9048577062281664
2026-04-02T02:19:39.337,-26570.56642905506,-17012.48123551925,-9244.859400497797,-1.36885138854854,-3.14569120579919,-1.70034710817144,32876.84509627855,3.82887810911246
2026-04-02T02:23:39.337,-26890.669352806915,-17761.998297702718,-9649.981598283575,-1.29933295361152,-3.10047889574182,-1.6757778939425,33641.028917332405,3.756257054184074
2026-04-02T02:27:39.337,-27194.54891470636,-18500.802729777537,-10049.283004678044,-1.23359929556338,-3.05641187613502,-1.65183636484991,34392.02351168962,3.686730822128763
2026-04-02T02:31:39.337,-27483.073762448676,-19229.164058338698,-10442.911278088342,-1.17132620838966,-3.01344561905894,-1.62849765355852,35130.250351751325,3.6200641145056562
2026-04-02T02:35:39.337,-27757.039266311665,-19947.341148580796,-10831.008134245007,-1.11222631957868,-2.97153591113989,-1.6057371586141,35856.106661676386,3.5560462426284047
2026-04-02T02:39:39.337,-28017.17572562781,-20655.582346095518,-11213.709444131988,-1.05604396421428,-2.93063937333682,-1.58353081148742,36569.96714784491,3.4944879198296634
2026-04-02T02:43:39.337,-28264.15544857856,-21354.125722107972,-11591.145384779997,-1.00255089317483,-2.89071381208324,-1.56185525480558,37272.18560680488,3.435218548176851
2026-04-02T02:47:39.337,-28498.59888631456,-22043.19938748976,-11963.440624694367,-0.95154266153771,-2.85171844779029,-1.54068795619239,37963.09641349433,3.3780839125974973
2026-04-02T02:51:39.337,-28721.07996941077,-22723.021850352445,-12330.71453070993,-0.9028355747903,-2.81361405427057,-1.52000727550556,38643.01589496793,3.322944212454618
2026-04-02T02:55:39.337,-28932.130768347295,-23393.80239894442,-12693.081386730039,-0.85626409491287,-2.77636303366797,-1.49979249848013,39312.24359621005,3.269672374023465
2026-04-02T02:59:39.337,-29132.24557859008,-24055.741496651928,-13050.650617491425,-0.81167862752077,-2.73992944496689,-1.48002384632346,39971.06344525814,3.2181525979133836
2026-04-02T03:03:39.337,-29321.884513806257,-24709.03117964266,-13403.527012468687,-0.76894362629042,-2.70427899940127,-1.46068246828207,40619.74482504195,3.168279103892521
2026-04-02T03:07:39.337,-29501.476676925322,-25353.855450447376,-13751.810946483525,-0.72793596278872,-2.66937903259686,-1.44175042235008,41258.543559233556,3.119955042293963
2026-04-02T03:09:34.583,-29584.09023943769,-25660.57391482725,-13917.49875694054,-0.70684323060842,-2.65305448821574,-1.43295930813577,41561.76392530696,3.0970466333059266
2026-04-02T03:11:19.583,-29657.40857125333,-25938.361600590775,-14067.534765394761,-0.68974560893578,-2.63816178355037,-1.42488155803236,41836.061239806535,3.076675812569889
2026-04-02T03:13:04.583,-29728.947001036147,-26214.59252090896,-14216.726408913339,-0.67293896147394,-2.62340141027544,-1.41687594566352,42108.555670001384,3.0565698504540486
2026-04-02T03:14:49.583,-29798.735654047097,-26489.28044463136,-14365.081192911035,-0.65641520662985,-2.60877097826024,-1.40894116075055,42379.26595321152,3.036722268328947
2026-04-02T03:16:34.583,-29866.803823199047,-26762.43889241334,-14512.606486759405,-0.64016656924286,-2.59426814995564,-1.401075922174,42648.21043283231,3.017126813699775
2026-04-02T03:18:19.583,-29933.180000458586,-27034.08114218285,-14659.309526817224,-0.62418556599327,-2.57989063935729,-1.39327897737656,42915.40706954805,2.9977774501515584
2026-04-02T03:20:04.583,-29997.891906759905,-27304.220234497538,-14805.197419397911,-0.60846499164231,-2.56563621095436,-1.38554910176032,43180.873452154054,2.9786683478365545
2026-04-02T03:21:49.583,-30060.9665205151,-27572.868977790964,-14950.277143673484,-0.59299790604892,-2.55150267866932,-1.37788509808116,43444.626808002424,2.95979387446985
2026-04-02T03:23:34.583,-30122.430104799783,-27840.039953507225,-15094.55555451488,-0.57777762191231,-2.53748790479334,-1.3702857958427,43706.684013086175,2.9411485868013196
2026-04-02T03:25:19.583,-30182.30823328768,-28105.745521123757,-15238.039385268721,-0.56279769319333,-2.52358979892145,-1.3627500506919,43967.06160177587,2.9227272225346166
2026-04-02T03:26:23.739,-30217.259953328045,-28267.39751742439,-15325.346855768574,-0.53853142201022,-2.51550822782002,-1.35863601475565,44124.764223106155,2.909242093280255
2026-04-02T03:30:56.675,-30359.52071199105,-28948.95314472718,-15695.356570808777,-0.50135696235919,-2.48001755796993,-1.34007649960255,44789.35815483688,2.863154015475275
2026-04-02T03:34:56.675,-30476.012173841893,-29540.480900784227,-16014.98157503331,-0.46958751901247,-2.44947218630845,-1.32351515480012,45364.1594732936,2.8234940755200055
2026-04-02T03:38:56.675,-30585.00779126115,-30124.74299810022,-16330.667358536939,-0.43888160803122,-2.41946689890042,-1.30724774700717,45930.747203461404,2.7848399977015212
