timestamp_utc,met_hours,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,distance_earth_km,speed_kms,speed_ms,data_type,source
2026-04-02 01:57:37.084,13.960301111111113,-24468.231698271986,-12677.926410379976,-6901.348388602915,-1.83796863689585,-3.41722647280823,-1.84782351579474,28408.674557046903,4.29767579305352,4297.67579305352,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 01:58:42.787,13.978551944444444,-24588.078986612403,-12901.97275469018,-7022.496964210427,-1.81029126296756,-3.40279453591778,-1.83996653511421,28641.75261444388,4.2710235261338445,4271.023526133845,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:03:39.337,14.060926944444445,-25107.400003889667,-13901.530356086909,-7563.003976432445,-1.69292924541603,-3.33884282865911,-1.80538036530162,29678.83269847481,4.156113464270419,4156.113464270419,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:07:39.337,14.127593611111111,-25502.91946076164,-14696.80088496664,-7993.002753099913,-1.60404842317362,-3.28863172598082,-1.77806409241313,30500.540163831745,4.068117733023749,4068.117733023749,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:11:39.337,14.194260277777778,-25877.7905586998,-15480.17808009252,-8416.53227689087,-1.5207617860023,-3.23972655085335,-1.75146688419332,31307.091419664896,3.9844925373872777,3984.492537387278,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:15:39.337,14.260926944444444,-26233.288662562507,-16251.971364545643,-8833.762790310579,-1.4425217946379,-3.19209289695149,-1.72556875119944,32099.024476186467,3.9048577062281664,3904.8577062281665,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:19:39.337,14.32759361111111,-26570.56642905506,-17012.48123551925,-9244.859400497797,-1.36885138854854,-3.14569120579919,-1.70034710817144,32876.84509627855,3.82887810911246,3828.87810911246,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:23:39.337,14.394260277777777,-26890.669352806915,-17761.998297702718,-9649.981598283575,-1.29933295361152,-3.10047889574182,-1.6757778939425,33641.028917332405,3.756257054184074,3756.2570541840737,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:27:39.337,14.460926944444445,-27194.54891470636,-18500.802729777537,-10049.283004678044,-1.23359929556338,-3.05641187613502,-1.65183636484991,34392.02351168962,3.686730822128763,3686.730822128763,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:31:39.337,14.527593611111111,-27483.07376244868,-19229.164058338694,-10442.911278088342,-1.17132620838966,-3.01344561905894,-1.62849765355852,35130.250351751325,3.620064114505656,3620.0641145056557,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:35:39.337,14.594260277777778,-27757.039266311665,-19947.3411485808,-10831.008134245008,-1.11222631957868,-2.97153591113989,-1.6057371586141,35856.106661676386,3.5560462426284047,3556.046242628405,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:39:39.337,14.660926944444444,-28017.17572562781,-20655.58234609552,-11213.709444131988,-1.05604396421428,-2.93063937333682,-1.58353081148742,36569.96714784491,3.4944879198296634,3494.4879198296635,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
2026-04-02 02:43:39.337,14.72759361111111,-28264.15544857856,-21354.12572210797,-11591.145384779997,-1.00255089317483,-2.89071381208324,-1.56185525480558,37272.18560680488,3.435218548176851,3435.218548176851,flight-derived,NASA/JSC/FOD/FDO OEM Ephemeris
